,timestamp,station,district,freeway,direction,laneType,length,numSamples,percentObs,flow,occupancy,speed
71724,04/05/2018 01:30:00,405602,4,80,W,ML,0.385,50,100,78.0,0.0137,70.8
73825,04/05/2018 01:35:00,401211,4,80,W,ML,0.355,59,100,85.0,0.0101,68.0
74079,04/05/2018 01:35:00,401698,4,80,W,ML,0.62,50,0,343.0,0.0359,58.8
75575,04/05/2018 01:35:00,405602,4,80,W,ML,0.385,50,100,83.0,0.0128,72.3
77676,04/05/2018 01:40:00,401211,4,80,W,ML,0.355,60,100,75.0,0.0109,67.2
77930,04/05/2018 01:40:00,401698,4,80,W,ML,0.62,50,0,312.0,0.0349,57.0
79426,04/05/2018 01:40:00,405602,4,80,W,ML,0.385,50,100,72.0,0.0145,69.4
81527,04/05/2018 01:45:00,401211,4,80,W,ML,0.355,60,100,86.0,0.0105,68.4
81781,04/05/2018 01:45:00,401698,4,80,W,ML,0.62,50,0,326.0,0.0347,59.1
83277,04/05/2018 01:45:00,405602,4,80,W,ML,0.385,50,100,82.0,0.0131,71.2
85378,04/05/2018 01:50:00,401211,4,80,W,ML,0.355,60,100,81.0,0.0122,66.2
85632,04/05/2018 01:50:00,401698,4,80,W,ML,0.62,50,0,355.0,0.0433,55.9
87128,04/05/2018 01:50:00,405602,4,80,W,ML,0.385,49,100,83.0,0.0164,68.1
89229,04/05/2018 01:55:00,401211,4,80,W,ML,0.355,60,100,79.0,0.0096,68.4
89483,04/05/2018 01:55:00,401698,4,80,W,ML,0.62,50,0,308.0,0.0331,58.7
90979,04/05/2018 01:55:00,405602,4,80,W,ML,0.385,50,100,78.0,0.0125,70.4
93080,04/05/2018 02:00:00,401211,4,80,W,ML,0.355,60,100,96.0,0.0154,65.0
93334,04/05/2018 02:00:00,401698,4,80,W,ML,0.62,50,0,376.0,0.0521,55.0
94830,04/05/2018 02:00:00,405602,4,80,W,ML,0.385,50,100,98.0,0.019,69.0
96931,04/05/2018 02:05:00,401211,4,80,W,ML,0.355,60,100,78.0,0.0101,67.2
97185,04/05/2018 02:05:00,401698,4,80,W,ML,0.62,50,0,320.0,0.0387,57.4
98681,04/05/2018 02:05:00,405602,4,80,W,ML,0.385,50,100,76.0,0.0127,70.3
100782,04/05/2018 02:10:00,401211,4,80,W,ML,0.355,60,100,79.0,0.0111,65.9
101036,04/05/2018 02:10:00,401698,4,80,W,ML,0.62,50,0,367.0,0.0461,56.4
102532,04/05/2018 02:10:00,405602,4,80,W,ML,0.385,50,100,80.0,0.0134,71.1
104633,04/05/2018 02:15:00,401211,4,80,W,ML,0.355,60,100,78.0,0.0112,67.9
104887,04/05/2018 02:15:00,401698,4,80,W,ML,0.62,50,0,324.0,0.0418,58.0
106383,04/05/2018 02:15:00,405602,4,80,W,ML,0.385,50,100,75.0,0.015,70.4
108484,04/05/2018 02:20:00,401211,4,80,W,ML,0.355,60,100,83.0,0.0117,67.1
108738,04/05/2018 02:20:00,401698,4,80,W,ML,0.62,50,0,351.0,0.0393,56.8
110234,04/05/2018 02:20:00,405602,4,80,W,ML,0.385,50,100,69.0,0.0145,67.7
112335,04/05/2018 02:25:00,401211,4,80,W,ML,0.355,60,100,84.0,0.0116,66.5
112589,04/05/2018 02:25:00,401698,4,80,W,ML,0.62,50,0,330.0,0.0397,56.1
114085,04/05/2018 02:25:00,405602,4,80,W,ML,0.385,50,100,72.0,0.0134,68.3
116186,04/05/2018 02:30:00,401211,4,80,W,ML,0.355,59,100,101.0,0.0144,66.3
116440,04/05/2018 02:30:00,401698,4,80,W,ML,0.62,50,0,378.0,0.05,58.1
117936,04/05/2018 02:30:00,405602,4,80,W,ML,0.385,50,100,99.0,0.019,67.9
120037,04/05/2018 02:35:00,401211,4,80,W,ML,0.355,60,100,98.0,0.0126,68.6
120291,04/05/2018 02:35:00,401698,4,80,W,ML,0.62,50,0,359.0,0.0391,58.5
121787,04/05/2018 02:35:00,405602,4,80,W,ML,0.385,50,100,106.0,0.0175,70.3
123888,04/05/2018 02:40:00,401211,4,80,W,ML,0.355,60,100,90.0,0.0128,65.9
124142,04/05/2018 02:40:00,401698,4,80,W,ML,0.62,50,0,333.0,0.0391,57.3
125638,04/05/2018 02:40:00,405602,4,80,W,ML,0.385,50,100,88.0,0.0161,69.1
127739,04/05/2018 02:45:00,401211,4,80,W,ML,0.355,60,100,83.0,0.0091,69.1
127993,04/05/2018 02:45:00,401698,4,80,W,ML,0.62,50,0,295.0,0.0311,58.7
129489,04/05/2018 02:45:00,405602,4,80,W,ML,0.385,50,100,86.0,0.0121,72.3
131590,04/05/2018 02:50:00,401211,4,80,W,ML,0.355,59,100,70.0,0.0088,69.3
131844,04/05/2018 02:50:00,401698,4,80,W,ML,0.62,50,0,277.0,0.0321,58.3
133340,04/05/2018 02:50:00,405602,4,80,W,ML,0.385,50,100,84.0,0.0143,72.1
135441,04/05/2018 02:55:00,401211,4,80,W,ML,0.355,60,100,106.0,0.0139,68.2
135695,04/05/2018 02:55:00,401698,4,80,W,ML,0.62,50,0,413.0,0.0537,58.0
137191,04/05/2018 02:55:00,405602,4,80,W,ML,0.385,50,100,97.0,0.0168,70.9
139292,04/05/2018 03:00:00,401211,4,80,W,ML,0.355,59,100,101.0,0.0151,66.6
139546,04/05/2018 03:00:00,401698,4,80,W,ML,0.62,50,0,397.0,0.0497,56.4
