,timestamp,station,district,freeway,direction,laneType,length,numSamples,percentObs,flow,occupancy,speed
97185,04/04/2018 02:05:00,401698,4,80,W,ML,0.62,50,0,278.0,0.0342,57.8
98681,04/04/2018 02:05:00,405602,4,80,W,ML,0.385,50,100,73.0,0.0128,71.0
100782,04/04/2018 02:10:00,401211,4,80,W,ML,0.355,60,100,83.0,0.0111,68.4
101036,04/04/2018 02:10:00,401698,4,80,W,ML,0.62,50,0,310.0,0.0411,58.1
102532,04/04/2018 02:10:00,405602,4,80,W,ML,0.385,50,100,82.0,0.0149,70.4
104633,04/04/2018 02:15:00,401211,4,80,W,ML,0.355,60,100,78.0,0.0124,66.4
104887,04/04/2018 02:15:00,401698,4,80,W,ML,0.62,50,0,319.0,0.0437,56.6
106383,04/04/2018 02:15:00,405602,4,80,W,ML,0.385,50,100,80.0,0.0171,67.9
108484,04/04/2018 02:20:00,401211,4,80,W,ML,0.355,60,100,87.0,0.0116,68.4
108738,04/04/2018 02:20:00,401698,4,80,W,ML,0.62,50,0,317.0,0.0405,58.2
110234,04/04/2018 02:20:00,405602,4,80,W,ML,0.385,50,100,88.0,0.0166,68.3
112335,04/04/2018 02:25:00,401211,4,80,W,ML,0.355,60,100,87.0,0.013999999999999999,65.8
112589,04/04/2018 02:25:00,401698,4,80,W,ML,0.62,50,0,386.0,0.0434,56.3
114085,04/04/2018 02:25:00,405602,4,80,W,ML,0.385,50,100,74.0,0.0159,65.8
116186,04/04/2018 02:30:00,401211,4,80,W,ML,0.355,60,100,94.0,0.0143,66.6
116440,04/04/2018 02:30:00,401698,4,80,W,ML,0.62,50,0,357.0,0.0469,56.6
117936,04/04/2018 02:30:00,405602,4,80,W,ML,0.385,50,100,92.0,0.0198,65.8
120037,04/04/2018 02:35:00,401211,4,80,W,ML,0.355,60,100,125.0,0.0156,68.0
120291,04/04/2018 02:35:00,401698,4,80,W,ML,0.62,50,0,434.0,0.0503,58.1
121787,04/04/2018 02:35:00,405602,4,80,W,ML,0.385,49,100,134.0,0.0227,68.1
123888,04/04/2018 02:40:00,401211,4,80,W,ML,0.355,60,100,83.0,0.0112,68.3
124142,04/04/2018 02:40:00,401698,4,80,W,ML,0.62,50,0,287.0,0.0414,57.9
125638,04/04/2018 02:40:00,405602,4,80,W,ML,0.385,50,100,85.0,0.0163,68.0
127739,04/04/2018 02:45:00,401211,4,80,W,ML,0.355,60,100,96.0,0.0126,68.2
127993,04/04/2018 02:45:00,401698,4,80,W,ML,0.62,50,0,331.0,0.0407,58.1
129489,04/04/2018 02:45:00,405602,4,80,W,ML,0.385,50,100,104.0,0.0197,66.5
131590,04/04/2018 02:50:00,401211,4,80,W,ML,0.355,58,100,94.0,0.0136,67.6
131844,04/04/2018 02:50:00,401698,4,80,W,ML,0.62,50,0,375.0,0.0483,57.9
133340,04/04/2018 02:50:00,405602,4,80,W,ML,0.385,50,100,86.0,0.0179,65.8
135441,04/04/2018 02:55:00,401211,4,80,W,ML,0.355,60,100,105.0,0.0143,67.6
135695,04/04/2018 02:55:00,401698,4,80,W,ML,0.62,50,0,422.0,0.0508,58.5
137191,04/04/2018 02:55:00,405602,4,80,W,ML,0.385,50,100,102.0,0.019,67.3
139292,04/04/2018 03:00:00,401211,4,80,W,ML,0.355,59,100,81.0,0.0118,66.4
139546,04/04/2018 03:00:00,401698,4,80,W,ML,0.62,50,0,325.0,0.0327,56.5
141042,04/04/2018 03:00:00,405602,4,80,W,ML,0.385,50,100,91.0,0.0169,65.9
143143,04/04/2018 03:05:00,401211,4,80,W,ML,0.355,60,100,99.0,0.0143,67.2
143397,04/04/2018 03:05:00,401698,4,80,W,ML,0.62,50,0,353.0,0.0489,57.1
144893,04/04/2018 03:05:00,405602,4,80,W,ML,0.385,48,100,106.0,0.0195,67.4
146994,04/04/2018 03:10:00,401211,4,80,W,ML,0.355,60,100,103.0,0.0129,68.4
147248,04/04/2018 03:10:00,401698,4,80,W,ML,0.62,50,0,421.0,0.0452,57.9
148744,04/04/2018 03:10:00,405602,4,80,W,ML,0.385,50,100,102.0,0.0166,69.1
150845,04/04/2018 03:15:00,401211,4,80,W,ML,0.355,60,100,118.0,0.0179,66.6
151099,04/04/2018 03:15:00,401698,4,80,W,ML,0.62,50,0,451.0,0.0608,57.4
152595,04/04/2018 03:15:00,405602,4,80,W,ML,0.385,50,100,122.0,0.0249,66.1
154696,04/04/2018 03:20:00,401211,4,80,W,ML,0.355,60,100,93.0,0.0134,66.4
154950,04/04/2018 03:20:00,401698,4,80,W,ML,0.62,50,0,355.0,0.0428,56.6
156446,04/04/2018 03:20:00,405602,4,80,W,ML,0.385,50,100,98.0,0.0178,66.8
158547,04/04/2018 03:25:00,401211,4,80,W,ML,0.355,60,100,115.0,0.0142,68.5
158801,04/04/2018 03:25:00,401698,4,80,W,ML,0.62,50,0,403.0,0.0464,57.4
160297,04/04/2018 03:25:00,405602,4,80,W,ML,0.385,50,100,124.0,0.0198,69.5
162398,04/04/2018 03:30:00,401211,4,80,W,ML,0.355,60,100,129.0,0.0151,70.3
162652,04/04/2018 03:30:00,401698,4,80,W,ML,0.62,50,0,422.0,0.0503,59.2
164148,04/04/2018 03:30:00,405602,4,80,W,ML,0.385,50,100,129.0,0.02,71.9
166249,04/04/2018 03:35:00,401211,4,80,W,ML,0.355,60,100,163.0,0.0188,72.4
166503,04/04/2018 03:35:00,401698,4,80,W,ML,0.62,50,0,572.0,0.0535,59.3
167999,04/04/2018 03:35:00,405602,4,80,W,ML,0.385,50,100,162.0,0.0229,74.2
170100,04/04/2018 03:40:00,401211,4,80,W,ML,0.355,60,100,187.0,0.0235,70.5
170354,04/04/2018 03:40:00,401698,4,80,W,ML,0.62,50,0,583.0,0.0684,60.2
171850,04/04/2018 03:40:00,405602,4,80,W,ML,0.385,50,100,188.0,0.0307,72.8
173951,04/04/2018 03:45:00,401211,4,80,W,ML,0.355,60,100,164.0,0.0218,70.3
174205,04/04/2018 03:45:00,401698,4,80,W,ML,0.62,50,0,552.0,0.0649,59.1
175701,04/04/2018 03:45:00,405602,4,80,W,ML,0.385,50,100,136.0,0.0222,71.8
177802,04/04/2018 03:50:00,401211,4,80,W,ML,0.355,60,100,176.0,0.0223,69.5
178056,04/04/2018 03:50:00,401698,4,80,W,ML,0.62,50,0,543.0,0.0663,59.9
179552,04/04/2018 03:50:00,405602,4,80,W,ML,0.385,50,100,201.0,0.0315,71.7
181653,04/04/2018 03:55:00,401211,4,80,W,ML,0.355,60,100,153.0,0.0184,69.9
181907,04/04/2018 03:55:00,401698,4,80,W,ML,0.62,50,0,505.0,0.057999999999999996,60.3
183403,04/04/2018 03:55:00,405602,4,80,W,ML,0.385,50,100,131.0,0.0216,70.6
185504,04/04/2018 04:00:00,401211,4,80,W,ML,0.355,60,100,179.0,0.0234,69.0
185758,04/04/2018 04:00:00,401698,4,80,W,ML,0.62,50,0,587.0,0.0702,58.8
187254,04/04/2018 04:00:00,405602,4,80,W,ML,0.385,50,100,180.0,0.0307,69.6
189355,04/04/2018 04:05:00,401211,4,80,W,ML,0.355,60,100,213.0,0.0265,69.0
189609,04/04/2018 04:05:00,401698,4,80,W,ML,0.62,50,0,674.0,0.0772,59.5
191105,04/04/2018 04:05:00,405602,4,80,W,ML,0.385,50,100,223.0,0.0372,69.1
193206,04/04/2018 04:10:00,401211,4,80,W,ML,0.355,60,100,229.0,0.0259,70.9
193460,04/04/2018 04:10:00,401698,4,80,W,ML,0.62,50,0,763.0,0.0773,61.8
194956,04/04/2018 04:10:00,405602,4,80,W,ML,0.385,50,100,274.0,0.0402,72.7
197057,04/04/2018 04:15:00,401211,4,80,W,ML,0.355,60,100,244.0,0.0284,71.7
197311,04/04/2018 04:15:00,401698,4,80,W,ML,0.62,50,0,766.0,0.075,61.4
198807,04/04/2018 04:15:00,405602,4,80,W,ML,0.385,50,100,224.0,0.0336,73.0
200908,04/04/2018 04:20:00,401211,4,80,W,ML,0.355,60,100,304.0,0.0332,74.1
201162,04/04/2018 04:20:00,401698,4,80,W,ML,0.62,50,0,869.0,0.0925,63.5
202658,04/04/2018 04:20:00,405602,4,80,W,ML,0.385,50,100,290.0,0.0425,74.7
204759,04/04/2018 04:25:00,401211,4,80,W,ML,0.355,60,100,378.0,0.0438,73.6
205013,04/04/2018 04:25:00,401698,4,80,W,ML,0.62,50,0,1128.0,0.1233,62.1
206509,04/04/2018 04:25:00,405602,4,80,W,ML,0.385,50,100,332.0,0.0505,74.4
208610,04/04/2018 04:30:00,401211,4,80,W,ML,0.355,60,100,287.0,0.0327,73.4
208864,04/04/2018 04:30:00,401698,4,80,W,ML,0.62,50,0,838.0,0.0874,62.2
210360,04/04/2018 04:30:00,405602,4,80,W,ML,0.385,50,100,308.0,0.0437,75.8
212461,04/04/2018 04:35:00,401211,4,80,W,ML,0.355,60,100,423.0,0.0499,72.9
212715,04/04/2018 04:35:00,401698,4,80,W,ML,0.62,50,0,1280.0,0.1309,63.3
214211,04/04/2018 04:35:00,405602,4,80,W,ML,0.385,50,100,202.0,0.0298,74.9
216312,04/04/2018 04:40:00,401211,4,80,W,ML,0.355,60,100,461.0,0.0545,71.6
216566,04/04/2018 04:40:00,401698,4,80,W,ML,0.62,50,0,1319.0,0.1404,63.8
218062,04/04/2018 04:40:00,405602,4,80,W,ML,0.385,50,100,490.0,0.0739,73.8
220163,04/04/2018 04:45:00,401211,4,80,W,ML,0.355,60,100,535.0,0.0633,71.6
220417,04/04/2018 04:45:00,401698,4,80,W,ML,0.62,50,0,1417.0,0.1678,63.6
221913,04/04/2018 04:45:00,405602,4,80,W,ML,0.385,50,100,492.0,0.0749,73.2
224014,04/04/2018 04:50:00,401211,4,80,W,ML,0.355,60,100,489.0,0.0544,73.7
224268,04/04/2018 04:50:00,401698,4,80,W,ML,0.62,50,0,1378.0,0.1292,65.6
225764,04/04/2018 04:50:00,405602,4,80,W,ML,0.385,50,100,582.0,0.0826,75.0
227865,04/04/2018 04:55:00,401211,4,80,W,ML,0.355,60,100,468.0,0.0512,74.0
228119,04/04/2018 04:55:00,401698,4,80,W,ML,0.62,50,0,1266.0,0.1226,65.0
229615,04/04/2018 04:55:00,405602,4,80,W,ML,0.385,50,100,541.0,0.0764,76.0
231716,04/04/2018 05:00:00,401211,4,80,W,ML,0.355,60,100,471.0,0.0562,74.3
231970,04/04/2018 05:00:00,401698,4,80,W,ML,0.62,50,0,1276.0,0.1477,65.2
233466,04/04/2018 05:00:00,405602,4,80,W,ML,0.385,50,100,585.0,0.0933,76.5
235567,04/04/2018 05:05:00,401211,4,80,W,ML,0.355,60,100,501.0,0.0591,74.8
235821,04/04/2018 05:05:00,401698,4,80,W,ML,0.62,50,0,1251.0,0.1566,64.7
237317,04/04/2018 05:05:00,405602,4,80,W,ML,0.385,50,100,574.0,0.0935,75.6
239418,04/04/2018 05:10:00,401211,4,80,W,ML,0.355,60,100,646.0,0.0772,74.7
239672,04/04/2018 05:10:00,401698,4,80,W,ML,0.62,50,0,1383.0,0.1943,63.7
241168,04/04/2018 05:10:00,405602,4,80,W,ML,0.385,50,100,637.0,0.0967,77.3
243269,04/04/2018 05:15:00,401211,4,80,W,ML,0.355,60,100,596.0,0.0726,74.2
243523,04/04/2018 05:15:00,401698,4,80,W,ML,0.62,50,0,1366.0,0.1816,62.3
245019,04/04/2018 05:15:00,405602,4,80,W,ML,0.385,50,100,643.0,0.1018,76.7
247120,04/04/2018 05:20:00,401211,4,80,W,ML,0.355,60,100,542.0,0.066,74.2
247374,04/04/2018 05:20:00,401698,4,80,W,ML,0.62,50,0,1374.0,0.1569,62.0
248870,04/04/2018 05:20:00,405602,4,80,W,ML,0.385,50,100,750.0,0.1222,75.5
250971,04/04/2018 05:25:00,401211,4,80,W,ML,0.355,60,100,522.0,0.0645,73.2
251225,04/04/2018 05:25:00,401698,4,80,W,ML,0.62,50,0,1355.0,0.1565,61.6
252721,04/04/2018 05:25:00,405602,4,80,W,ML,0.385,50,100,557.0,0.0892,75.4
254822,04/04/2018 05:30:00,401211,4,80,W,ML,0.355,60,100,472.0,0.0599,71.7
255076,04/04/2018 05:30:00,401698,4,80,W,ML,0.62,50,0,1295.0,0.1401,59.8
256572,04/04/2018 05:30:00,405602,4,80,W,ML,0.385,50,100,666.0,0.1067,74.9
258673,04/04/2018 05:35:00,401211,4,80,W,ML,0.355,60,100,498.0,0.0611,72.8
258927,04/04/2018 05:35:00,401698,4,80,W,ML,0.62,50,0,1338.0,0.1485,61.6
260423,04/04/2018 05:35:00,405602,4,80,W,ML,0.385,50,100,635.0,0.1078,72.8
262524,04/04/2018 05:40:00,401211,4,80,W,ML,0.355,60,100,591.0,0.0764,70.8
262778,04/04/2018 05:40:00,401698,4,80,W,ML,0.62,50,0,1440.0,0.1794,60.1
264274,04/04/2018 05:40:00,405602,4,80,W,ML,0.385,50,100,677.0,0.1225,70.0
266375,04/04/2018 05:45:00,401211,4,80,W,ML,0.355,60,100,553.0,0.0692,70.7
266629,04/04/2018 05:45:00,401698,4,80,W,ML,0.62,50,0,1420.0,0.1621,59.7
268125,04/04/2018 05:45:00,405602,4,80,W,ML,0.385,50,100,647.0,0.1114,69.6
270226,04/04/2018 05:50:00,401211,4,80,W,ML,0.355,60,100,524.0,0.0686,69.2
270480,04/04/2018 05:50:00,401698,4,80,W,ML,0.62,50,0,1371.0,0.1506,58.5
271976,04/04/2018 05:50:00,405602,4,80,W,ML,0.385,50,100,636.0,0.1172,67.5
274077,04/04/2018 05:55:00,401211,4,80,W,ML,0.355,60,100,582.0,0.11800000000000001,59.8
274331,04/04/2018 05:55:00,401698,4,80,W,ML,0.62,50,0,1477.0,0.2083,53.1
275827,04/04/2018 05:55:00,405602,4,80,W,ML,0.385,50,100,562.0,0.1043,66.0
277928,04/04/2018 06:00:00,401211,4,80,W,ML,0.355,60,100,495.0,0.129,50.3
278182,04/04/2018 06:00:00,401698,4,80,W,ML,0.62,50,0,1425.0,0.2105,46.1
279678,04/04/2018 06:00:00,405602,4,80,W,ML,0.385,50,100,590.0,0.1232,58.2
281779,04/04/2018 06:05:00,401211,4,80,W,ML,0.355,60,100,602.0,0.1267,46.0
282033,04/04/2018 06:05:00,401698,4,80,W,ML,0.62,50,0,1457.0,0.2374,43.2
283529,04/04/2018 06:05:00,405602,4,80,W,ML,0.385,50,100,644.0,0.1373,53.6
285630,04/04/2018 06:10:00,401211,4,80,W,ML,0.355,60,100,522.0,0.1044,45.2
285884,04/04/2018 06:10:00,401698,4,80,W,ML,0.62,50,0,1411.0,0.1974,40.8
287380,04/04/2018 06:10:00,405602,4,80,W,ML,0.385,50,100,635.0,0.124,53.2
289481,04/04/2018 06:15:00,401211,4,80,W,ML,0.355,60,100,547.0,0.11599999999999999,45.2
289735,04/04/2018 06:15:00,401698,4,80,W,ML,0.62,50,0,1454.0,0.209,42.6
291231,04/04/2018 06:15:00,405602,4,80,W,ML,0.385,50,100,606.0,0.1167,53.7
293332,04/04/2018 06:20:00,401211,4,80,W,ML,0.355,60,100,620.0,0.1414,42.9
293586,04/04/2018 06:20:00,401698,4,80,W,ML,0.62,50,0,1480.0,0.2735,39.7
295082,04/04/2018 06:20:00,405602,4,80,W,ML,0.385,50,100,632.0,0.1294,52.4
297183,04/04/2018 06:25:00,401211,4,80,W,ML,0.355,60,100,499.0,0.1373,42.4
297437,04/04/2018 06:25:00,401698,4,80,W,ML,0.62,50,0,1454.0,0.213,39.3
298933,04/04/2018 06:25:00,405602,4,80,W,ML,0.385,50,100,594.0,0.1418,48.1
301034,04/04/2018 06:30:00,401211,4,80,W,ML,0.355,60,100,615.0,0.1855,40.5
301288,04/04/2018 06:30:00,401698,4,80,W,ML,0.62,50,0,1500.0,0.2838,37.8
302784,04/04/2018 06:30:00,405602,4,80,W,ML,0.385,50,100,641.0,0.1721,44.0
304885,04/04/2018 06:35:00,401211,4,80,W,ML,0.355,60,100,450.0,0.1298,37.9
305139,04/04/2018 06:35:00,401698,4,80,W,ML,0.62,50,0,1403.0,0.2397,35.2
306635,04/04/2018 06:35:00,405602,4,80,W,ML,0.385,50,100,488.0,0.1435,40.3
308736,04/04/2018 06:40:00,401211,4,80,W,ML,0.355,60,100,662.0,0.1833,35.9
308990,04/04/2018 06:40:00,401698,4,80,W,ML,0.62,50,0,1495.0,0.3814,32.8
310486,04/04/2018 06:40:00,405602,4,80,W,ML,0.385,50,100,600.0,0.149,41.2
312587,04/04/2018 06:45:00,401211,4,80,W,ML,0.355,60,100,600.0,0.113,39.6
312841,04/04/2018 06:45:00,401698,4,80,W,ML,0.62,50,0,1500.0,0.2545,36.0
314337,04/04/2018 06:45:00,405602,4,80,W,ML,0.385,50,100,630.0,0.1504,42.6
316438,04/04/2018 06:50:00,401211,4,80,W,ML,0.355,60,100,555.0,0.0983,43.2
316692,04/04/2018 06:50:00,401698,4,80,W,ML,0.62,50,0,1492.0,0.2222,37.0
318188,04/04/2018 06:50:00,405602,4,80,W,ML,0.385,50,100,680.0,0.1362,47.2
320289,04/04/2018 06:55:00,401211,4,80,W,ML,0.355,60,100,553.0,0.1043,43.8
320543,04/04/2018 06:55:00,401698,4,80,W,ML,0.62,50,0,1461.0,0.2573,38.5
322039,04/04/2018 06:55:00,405602,4,80,W,ML,0.385,50,100,563.0,0.1171,48.4
324140,04/04/2018 07:00:00,401211,4,80,W,ML,0.355,60,100,586.0,0.1022,44.9
324394,04/04/2018 07:00:00,401698,4,80,W,ML,0.62,50,0,1486.0,0.2327,38.8
325890,04/04/2018 07:00:00,405602,4,80,W,ML,0.385,50,100,577.0,0.158,43.6
327991,04/04/2018 07:05:00,401211,4,80,W,ML,0.355,60,100,617.0,0.1068,45.8
328245,04/04/2018 07:05:00,401698,4,80,W,ML,0.62,50,0,1482.0,0.2401,39.1
329741,04/04/2018 07:05:00,405602,4,80,W,ML,0.385,50,100,600.0,0.1458,43.5
331842,04/04/2018 07:10:00,401211,4,80,W,ML,0.355,60,100,610.0,0.1042,46.3
332096,04/04/2018 07:10:00,401698,4,80,W,ML,0.62,50,0,1484.0,0.2513,39.6
333592,04/04/2018 07:10:00,405602,4,80,W,ML,0.385,50,100,595.0,0.1207,47.5
335693,04/04/2018 07:15:00,401211,4,80,W,ML,0.355,60,100,541.0,0.08,50.5
335947,04/04/2018 07:15:00,401698,4,80,W,ML,0.62,50,0,1466.0,0.1902,42.9
337443,04/04/2018 07:15:00,405602,4,80,W,ML,0.385,50,100,610.0,0.1249,49.1
339544,04/04/2018 07:20:00,401211,4,80,W,ML,0.355,60,100,512.0,0.0744,52.6
339798,04/04/2018 07:20:00,401698,4,80,W,ML,0.62,50,0,1428.0,0.1797,44.9
341294,04/04/2018 07:20:00,405602,4,80,W,ML,0.385,50,100,444.0,0.0799,53.1
343395,04/04/2018 07:25:00,401211,4,80,W,ML,0.355,60,100,496.0,0.0742,53.0
343649,04/04/2018 07:25:00,401698,4,80,W,ML,0.62,50,0,1403.0,0.1701,45.2
345145,04/04/2018 07:25:00,405602,4,80,W,ML,0.385,50,100,575.0,0.1085,54.0
347246,04/04/2018 07:30:00,401211,4,80,W,ML,0.355,60,100,601.0,0.0877,53.8
347500,04/04/2018 07:30:00,401698,4,80,W,ML,0.62,50,0,1495.0,0.2071,45.1
348996,04/04/2018 07:30:00,405602,4,80,W,ML,0.385,50,100,585.0,0.1147,53.4
351097,04/04/2018 07:35:00,401211,4,80,W,ML,0.355,60,100,452.0,0.0662,53.9
351351,04/04/2018 07:35:00,401698,4,80,W,ML,0.62,50,0,1167.0,0.1783,44.2
352847,04/04/2018 07:35:00,405602,4,80,W,ML,0.385,50,100,584.0,0.11,54.1
354948,04/04/2018 07:40:00,401211,4,80,W,ML,0.355,60,100,574.0,0.0849,54.1
355202,04/04/2018 07:40:00,401698,4,80,W,ML,0.62,50,0,1473.0,0.1999,45.8
356698,04/04/2018 07:40:00,405602,4,80,W,ML,0.385,50,100,549.0,0.1009,55.4
358799,04/04/2018 07:45:00,401211,4,80,W,ML,0.355,60,100,362.0,0.0638,51.0
359053,04/04/2018 07:45:00,401698,4,80,W,ML,0.62,50,0,1114.0,0.1656,43.6
360549,04/04/2018 07:45:00,405602,4,80,W,ML,0.385,50,100,407.0,0.0767,55.6
