,timestamp,station,district,freeway,direction,laneType,length,numSamples,percentObs,flow,occupancy,speed
656,04/04/2018 00:00:00,401211,4,80,W,ML,0.355,60,100,129.0,0.0157,69.3
910,04/04/2018 00:00:00,401698,4,80,W,ML,0.62,50,0,457.0,0.0487,59.3
2406,04/04/2018 00:00:00,405602,4,80,W,ML,0.385,50,100,129.0,0.0211,71.5
4507,04/04/2018 00:05:00,401211,4,80,W,ML,0.355,60,100,124.0,0.0138,70.0
4761,04/04/2018 00:05:00,401698,4,80,W,ML,0.62,50,0,464.0,0.0468,59.7
6257,04/04/2018 00:05:00,405602,4,80,W,ML,0.385,50,100,128.0,0.0183,72.8
8358,04/04/2018 00:10:00,401211,4,80,W,ML,0.355,60,100,125.0,0.0154,69.0
8612,04/04/2018 00:10:00,401698,4,80,W,ML,0.62,50,0,480.0,0.0543,59.0
10108,04/04/2018 00:10:00,405602,4,80,W,ML,0.385,50,100,128.0,0.0205,70.9
12209,04/04/2018 00:15:00,401211,4,80,W,ML,0.355,60,100,113.0,0.0133,69.4
12463,04/04/2018 00:15:00,401698,4,80,W,ML,0.62,50,0,405.0,0.0384,59.8
13959,04/04/2018 00:15:00,405602,4,80,W,ML,0.385,50,100,104.0,0.0153,71.9
16060,04/04/2018 00:20:00,401211,4,80,W,ML,0.355,59,100,100.0,0.0146,67.3
16314,04/04/2018 00:20:00,401698,4,80,W,ML,0.62,50,0,366.0,0.0473,57.1
17810,04/04/2018 00:20:00,405602,4,80,W,ML,0.385,50,100,100.0,0.0177,71.1
19911,04/04/2018 00:25:00,401211,4,80,W,ML,0.355,60,100,128.0,0.0154,69.1
20165,04/04/2018 00:25:00,401698,4,80,W,ML,0.62,50,0,451.0,0.0478,58.9
21661,04/04/2018 00:25:00,405602,4,80,W,ML,0.385,50,100,128.0,0.0213,69.5
23762,04/04/2018 00:30:00,401211,4,80,W,ML,0.355,60,100,112.0,0.016,66.6
24016,04/04/2018 00:30:00,401698,4,80,W,ML,0.62,50,0,403.0,0.0504,57.3
25512,04/04/2018 00:30:00,405602,4,80,W,ML,0.385,50,100,85.0,0.0165,66.6
27613,04/04/2018 00:35:00,401211,4,80,W,ML,0.355,60,100,105.0,0.0119,69.0
27867,04/04/2018 00:35:00,401698,4,80,W,ML,0.62,50,0,366.0,0.0391,59.4
29363,04/04/2018 00:35:00,405602,4,80,W,ML,0.385,50,100,99.0,0.0175,67.1
31464,04/04/2018 00:40:00,401211,4,80,W,ML,0.355,60,100,93.0,0.0125,67.8
31718,04/04/2018 00:40:00,401698,4,80,W,ML,0.62,50,0,360.0,0.0407,57.5
33214,04/04/2018 00:40:00,405602,4,80,W,ML,0.385,50,100,98.0,0.0158,68.7
35315,04/04/2018 00:45:00,401211,4,80,W,ML,0.355,60,100,119.0,0.0154,67.8
35569,04/04/2018 00:45:00,401698,4,80,W,ML,0.62,50,0,442.0,0.0524,57.2
37065,04/04/2018 00:45:00,405602,4,80,W,ML,0.385,50,100,115.0,0.0199,68.9
39166,04/04/2018 00:50:00,401211,4,80,W,ML,0.355,60,100,74.0,0.0095,69.0
39420,04/04/2018 00:50:00,401698,4,80,W,ML,0.62,50,0,280.0,0.0288,58.2
40916,04/04/2018 00:50:00,405602,4,80,W,ML,0.385,50,100,75.0,0.0123,70.5
43017,04/04/2018 00:55:00,401211,4,80,W,ML,0.355,60,100,82.0,0.0102,68.1
43271,04/04/2018 00:55:00,401698,4,80,W,ML,0.62,50,0,346.0,0.037000000000000005,58.5
44767,04/04/2018 00:55:00,405602,4,80,W,ML,0.385,50,100,91.0,0.0154,69.4
46868,04/04/2018 01:00:00,401211,4,80,W,ML,0.355,60,100,98.0,0.0123,68.4
47122,04/04/2018 01:00:00,401698,4,80,W,ML,0.62,50,0,350.0,0.0422,58.5
48618,04/04/2018 01:00:00,405602,4,80,W,ML,0.385,50,100,97.0,0.0159,70.7
50719,04/04/2018 01:05:00,401211,4,80,W,ML,0.355,60,100,105.0,0.0139,67.3
50973,04/04/2018 01:05:00,401698,4,80,W,ML,0.62,50,0,412.0,0.0455,57.1
52469,04/04/2018 01:05:00,405602,4,80,W,ML,0.385,50,100,102.0,0.0167,71.0
54570,04/04/2018 01:10:00,401211,4,80,W,ML,0.355,60,100,81.0,0.012,66.9
54824,04/04/2018 01:10:00,401698,4,80,W,ML,0.62,50,0,362.0,0.0403,56.8
56320,04/04/2018 01:10:00,405602,4,80,W,ML,0.385,50,100,78.0,0.0147,70.5
58421,04/04/2018 01:15:00,401211,4,80,W,ML,0.355,60,100,70.0,0.0089,67.2
58675,04/04/2018 01:15:00,401698,4,80,W,ML,0.62,50,0,272.0,0.0306,56.8
60171,04/04/2018 01:15:00,405602,4,80,W,ML,0.385,50,100,73.0,0.0117,71.5
62272,04/04/2018 01:20:00,401211,4,80,W,ML,0.355,60,100,90.0,0.0126,67.7
62526,04/04/2018 01:20:00,401698,4,80,W,ML,0.62,50,0,322.0,0.0379,58.2
64022,04/04/2018 01:20:00,405602,4,80,W,ML,0.385,50,100,87.0,0.0158,71.8
66123,04/04/2018 01:25:00,401211,4,80,W,ML,0.355,60,100,73.0,0.0098,67.9
66377,04/04/2018 01:25:00,401698,4,80,W,ML,0.62,50,0,300.0,0.0383,57.7
67873,04/04/2018 01:25:00,405602,4,80,W,ML,0.385,48,100,82.0,0.0135,72.7
69974,04/04/2018 01:30:00,401211,4,80,W,ML,0.355,60,100,64.0,0.0072,69.2
70228,04/04/2018 01:30:00,401698,4,80,W,ML,0.62,50,0,277.0,0.0266,58.4
71724,04/04/2018 01:30:00,405602,4,80,W,ML,0.385,49,100,66.0,0.01,73.3
73825,04/04/2018 01:35:00,401211,4,80,W,ML,0.355,60,100,99.0,0.013999999999999999,69.2
74079,04/04/2018 01:35:00,401698,4,80,W,ML,0.62,50,0,388.0,0.0449,57.6
75575,04/04/2018 01:35:00,405602,4,80,W,ML,0.385,50,100,109.0,0.0195,73.6
77676,04/04/2018 01:40:00,401211,4,80,W,ML,0.355,60,100,75.0,0.0116,67.1
77930,04/04/2018 01:40:00,401698,4,80,W,ML,0.62,50,0,325.0,0.0401,56.7
79426,04/04/2018 01:40:00,405602,4,80,W,ML,0.385,50,100,82.0,0.0161,70.9
81527,04/04/2018 01:45:00,401211,4,80,W,ML,0.355,60,100,100.0,0.0143,67.0
81781,04/04/2018 01:45:00,401698,4,80,W,ML,0.62,50,0,380.0,0.0485,56.8
83277,04/04/2018 01:45:00,405602,4,80,W,ML,0.385,50,100,105.0,0.021,68.4
85378,04/04/2018 01:50:00,401211,4,80,W,ML,0.355,60,100,82.0,0.0116,66.6
85632,04/04/2018 01:50:00,401698,4,80,W,ML,0.62,50,0,279.0,0.0459,55.9
87128,04/04/2018 01:50:00,405602,4,80,W,ML,0.385,50,100,80.0,0.0152,68.8
89229,04/04/2018 01:55:00,401211,4,80,W,ML,0.355,58,100,77.0,0.0092,67.8
89483,04/04/2018 01:55:00,401698,4,80,W,ML,0.62,50,0,306.0,0.0329,57.7
90979,04/04/2018 01:55:00,405602,4,80,W,ML,0.385,50,100,83.0,0.0142,69.9
93080,04/04/2018 02:00:00,401211,4,80,W,ML,0.355,59,100,73.0,0.0091,70.0
93334,04/04/2018 02:00:00,401698,4,80,W,ML,0.62,50,0,284.0,0.0322,58.3
94830,04/04/2018 02:00:00,405602,4,80,W,ML,0.385,50,100,71.0,0.0113,71.8
96931,04/04/2018 02:05:00,401211,4,80,W,ML,0.355,60,100,76.0,0.0101,68.8
