,timestamp,station,district,freeway,direction,laneType,length,numSamples,percentObs,flow,occupancy,speed
656,04/06/2018 00:00:00,401211,4,80,W,ML,0.355,60,100,104.0,0.0133,69.2
910,04/06/2018 00:00:00,401698,4,80,W,ML,0.62,50,0,387.0,0.0439,58.3
2406,04/06/2018 00:00:00,405602,4,80,W,ML,0.385,50,100,114.0,0.019,71.4
4507,04/06/2018 00:05:00,401211,4,80,W,ML,0.355,60,100,132.0,0.0163,69.6
4761,04/06/2018 00:05:00,401698,4,80,W,ML,0.62,50,0,479.0,0.0505,58.9
6257,04/06/2018 00:05:00,405602,4,80,W,ML,0.385,50,100,126.0,0.0192,72.7
8358,04/06/2018 00:10:00,401211,4,80,W,ML,0.355,60,100,115.0,0.015,67.3
8612,04/06/2018 00:10:00,401698,4,80,W,ML,0.62,50,0,366.0,0.0412,57.2
10108,04/06/2018 00:10:00,405602,4,80,W,ML,0.385,50,100,93.0,0.0163,70.9
12209,04/06/2018 00:15:00,401211,4,80,W,ML,0.355,60,100,143.0,0.0197,65.3
12463,04/06/2018 00:15:00,401698,4,80,W,ML,0.62,50,0,528.0,0.0598,56.8
13959,04/06/2018 00:15:00,405602,4,80,W,ML,0.385,50,100,133.0,0.0239,68.4
16060,04/06/2018 00:20:00,401211,4,80,W,ML,0.355,60,100,135.0,0.0196,63.8
16314,04/06/2018 00:20:00,401698,4,80,W,ML,0.62,50,0,458.0,0.0573,55.6
17810,04/06/2018 00:20:00,405602,4,80,W,ML,0.385,50,100,142.0,0.0254,67.3
19911,04/06/2018 00:25:00,401211,4,80,W,ML,0.355,60,100,117.0,0.0145,65.4
20165,04/06/2018 00:25:00,401698,4,80,W,ML,0.62,50,0,450.0,0.0486,56.3
21661,04/06/2018 00:25:00,405602,4,80,W,ML,0.385,50,100,114.0,0.0181,68.9
23762,04/06/2018 00:30:00,401211,4,80,W,ML,0.355,60,100,124.0,0.0179,64.7
24016,04/06/2018 00:30:00,401698,4,80,W,ML,0.62,50,0,451.0,0.0568,53.6
25512,04/06/2018 00:30:00,405602,4,80,W,ML,0.385,50,100,121.0,0.0226,68.0
27613,04/06/2018 00:35:00,401211,4,80,W,ML,0.355,60,100,101.0,0.0126,67.2
27867,04/06/2018 00:35:00,401698,4,80,W,ML,0.62,50,0,394.0,0.0419,57.2
29363,04/06/2018 00:35:00,405602,4,80,W,ML,0.385,50,100,108.0,0.0167,70.6
31464,04/06/2018 00:40:00,401211,4,80,W,ML,0.355,59,100,120.0,0.0147,67.1
31718,04/06/2018 00:40:00,401698,4,80,W,ML,0.62,50,0,447.0,0.0505,57.4
33214,04/06/2018 00:40:00,405602,4,80,W,ML,0.385,50,100,108.0,0.0173,70.8
35315,04/06/2018 00:45:00,401211,4,80,W,ML,0.355,60,100,120.0,0.0145,67.8
35569,04/06/2018 00:45:00,401698,4,80,W,ML,0.62,50,0,483.0,0.0493,57.7
37065,04/06/2018 00:45:00,405602,4,80,W,ML,0.385,50,100,112.0,0.0172,71.9
39166,04/06/2018 00:50:00,401211,4,80,W,ML,0.355,60,100,87.0,0.0134,65.4
39420,04/06/2018 00:50:00,401698,4,80,W,ML,0.62,50,0,347.0,0.0447,55.5
40916,04/06/2018 00:50:00,405602,4,80,W,ML,0.385,50,100,88.0,0.0198,66.1
43017,04/06/2018 00:55:00,401211,4,80,W,ML,0.355,60,100,97.0,0.0137,65.3
43271,04/06/2018 00:55:00,401698,4,80,W,ML,0.62,50,0,379.0,0.0481,56.6
44767,04/06/2018 00:55:00,405602,4,80,W,ML,0.385,50,100,100.0,0.0195,65.4
46868,04/06/2018 01:00:00,401211,4,80,W,ML,0.355,59,100,72.0,0.0096,66.6
47122,04/06/2018 01:00:00,401698,4,80,W,ML,0.62,50,0,275.0,0.0362,56.3
48618,04/06/2018 01:00:00,405602,4,80,W,ML,0.385,50,100,86.0,0.0152,67.1
50719,04/06/2018 01:05:00,401211,4,80,W,ML,0.355,60,100,70.0,0.0083,67.6
50973,04/06/2018 01:05:00,401698,4,80,W,ML,0.62,50,0,283.0,0.0349,57.9
52469,04/06/2018 01:05:00,405602,4,80,W,ML,0.385,50,100,69.0,0.0095,70.2
54570,04/06/2018 01:10:00,401211,4,80,W,ML,0.355,60,100,87.0,0.0135,65.2
54824,04/06/2018 01:10:00,401698,4,80,W,ML,0.62,50,0,314.0,0.0437,54.9
56320,04/06/2018 01:10:00,405602,4,80,W,ML,0.385,50,100,92.0,0.0186,67.1
58421,04/06/2018 01:15:00,401211,4,80,W,ML,0.355,60,100,92.0,0.0123,66.9
58675,04/06/2018 01:15:00,401698,4,80,W,ML,0.62,50,0,350.0,0.0433,57.0
60171,04/06/2018 01:15:00,405602,4,80,W,ML,0.385,50,100,93.0,0.016,70.0
62272,04/06/2018 01:20:00,401211,4,80,W,ML,0.355,60,100,95.0,0.0129,67.6
62526,04/06/2018 01:20:00,401698,4,80,W,ML,0.62,50,0,373.0,0.0423,57.1
64022,04/06/2018 01:20:00,405602,4,80,W,ML,0.385,49,100,101.0,0.0185,68.9
66123,04/06/2018 01:25:00,401211,4,80,W,ML,0.355,60,100,78.0,0.0115,66.0
66377,04/06/2018 01:25:00,401698,4,80,W,ML,0.62,50,0,319.0,0.0432,56.0
67873,04/06/2018 01:25:00,405602,4,80,W,ML,0.385,50,100,86.0,0.0176,66.7
69974,04/06/2018 01:30:00,401211,4,80,W,ML,0.355,60,100,91.0,0.0127,65.3
70228,04/06/2018 01:30:00,401698,4,80,W,ML,0.62,50,0,362.0,0.0445,56.0
71724,04/06/2018 01:30:00,405602,4,80,W,ML,0.385,50,100,102.0,0.017,69.2
73825,04/06/2018 01:35:00,401211,4,80,W,ML,0.355,60,100,83.0,0.0112,65.8
74079,04/06/2018 01:35:00,401698,4,80,W,ML,0.62,50,0,366.0,0.0403,56.3
75575,04/06/2018 01:35:00,405602,4,80,W,ML,0.385,50,100,85.0,0.0148,69.2
77676,04/06/2018 01:40:00,401211,4,80,W,ML,0.355,60,100,76.0,0.0107,66.0
77930,04/06/2018 01:40:00,401698,4,80,W,ML,0.62,50,0,295.0,0.0359,55.8
79426,04/06/2018 01:40:00,405602,4,80,W,ML,0.385,50,100,79.0,0.015,68.5
81527,04/06/2018 01:45:00,401211,4,80,W,ML,0.355,60,100,77.0,0.0104,67.8
81781,04/06/2018 01:45:00,401698,4,80,W,ML,0.62,50,0,290.0,0.0378,56.7
83277,04/06/2018 01:45:00,405602,4,80,W,ML,0.385,50,100,80.0,0.0149,68.1
85378,04/06/2018 01:50:00,401211,4,80,W,ML,0.355,60,100,82.0,0.013000000000000001,65.3
85632,04/06/2018 01:50:00,401698,4,80,W,ML,0.62,50,0,345.0,0.0449,54.3
87128,04/06/2018 01:50:00,405602,4,80,W,ML,0.385,50,100,86.0,0.0161,68.5
89229,04/06/2018 01:55:00,401211,4,80,W,ML,0.355,60,100,93.0,0.0134,65.8
89483,04/06/2018 01:55:00,401698,4,80,W,ML,0.62,50,0,323.0,0.0444,54.7
90979,04/06/2018 01:55:00,405602,4,80,W,ML,0.385,50,100,93.0,0.0175,68.4
93080,04/06/2018 02:00:00,401211,4,80,W,ML,0.355,60,100,79.0,0.0118,67.4
93334,04/06/2018 02:00:00,401698,4,80,W,ML,0.62,50,0,314.0,0.0409,55.9
94830,04/06/2018 02:00:00,405602,4,80,W,ML,0.385,50,100,82.0,0.0159,68.6
96931,04/06/2018 02:05:00,401211,4,80,W,ML,0.355,60,100,72.0,0.0111,65.8
97185,04/06/2018 02:05:00,401698,4,80,W,ML,0.62,50,0,316.0,0.0379,55.6
98681,04/06/2018 02:05:00,405602,4,80,W,ML,0.385,50,100,69.0,0.0131,68.4
100782,04/06/2018 02:10:00,401211,4,80,W,ML,0.355,59,100,82.0,0.0113,65.8
101036,04/06/2018 02:10:00,401698,4,80,W,ML,0.62,50,0,340.0,0.0435,55.8
102532,04/06/2018 02:10:00,405602,4,80,W,ML,0.385,50,100,80.0,0.0133,69.2
104633,04/06/2018 02:15:00,401211,4,80,W,ML,0.355,60,100,93.0,0.0141,65.8
104887,04/06/2018 02:15:00,401698,4,80,W,ML,0.62,50,0,345.0,0.049,55.4
106383,04/06/2018 02:15:00,405602,4,80,W,ML,0.385,50,100,100.0,0.0193,67.8
108484,04/06/2018 02:20:00,401211,4,80,W,ML,0.355,60,100,78.0,0.0119,65.5
108738,04/06/2018 02:20:00,401698,4,80,W,ML,0.62,50,0,309.0,0.0407,56.1
110234,04/06/2018 02:20:00,405602,4,80,W,ML,0.385,50,100,79.0,0.0155,67.2
112335,04/06/2018 02:25:00,401211,4,80,W,ML,0.355,60,100,90.0,0.0143,64.4
112589,04/06/2018 02:25:00,401698,4,80,W,ML,0.62,50,0,390.0,0.0477,53.7
114085,04/06/2018 02:25:00,405602,4,80,W,ML,0.385,50,100,98.0,0.0199,66.4
116186,04/06/2018 02:30:00,401211,4,80,W,ML,0.355,60,100,101.0,0.0153,64.5
116440,04/06/2018 02:30:00,401698,4,80,W,ML,0.62,50,0,378.0,0.0466,55.5
117936,04/06/2018 02:30:00,405602,4,80,W,ML,0.385,49,100,99.0,0.0194,67.2
120037,04/06/2018 02:35:00,401211,4,80,W,ML,0.355,60,100,106.0,0.0135,66.5
